City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Bay Roberts,CA,47.6,-53.26,66.99,100,0,4.0,clear sky
83,Maneadero,MX,31.72,-116.57,80.01,45,3,5.99,clear sky
84,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,75,10.29,broken clouds
85,Thompson,CA,55.74,-97.86,53.6,76,75,2.24,broken clouds
86,Hasanpur,IN,28.72,78.28,80.02,82,10,8.72,clear sky
87,Nioro,GM,13.35,-15.75,77.36,91,93,7.47,light rain
88,Atuona,PF,-9.8,-139.03,79.16,76,11,19.57,few clouds
89,Saint-Augustin,CA,51.23,-58.65,64.51,46,87,9.89,overcast clouds
90,Najran,SA,17.49,44.13,91.4,14,0,2.24,clear sky
91,Launceston,AU,-41.45,147.17,50.0,87,71,16.11,broken clouds
92,Bredasdorp,ZA,-34.53,20.04,44.6,87,70,6.93,moderate rain
93,Hithadhoo,MV,-0.6,73.08,82.45,75,100,11.23,overcast clouds
94,Oktyabrskoye,RU,43.06,44.74,64.4,88,51,6.71,broken clouds
95,Uyuni,BO,-20.46,-66.83,60.62,22,0,15.52,clear sky
96,Vao,NC,-22.67,167.48,66.27,71,47,20.85,scattered clouds
97,Avarua,CK,-21.21,-159.78,73.4,83,2,13.87,clear sky
98,Whitehorse,CA,60.72,-135.05,48.99,87,90,8.05,overcast clouds
99,Ambovombe,MG,-25.17,46.08,75.51,63,27,6.46,scattered clouds
100,Lata,PT,40.16,-8.33,72.0,66,0,8.01,clear sky
101,Tongchuan,CN,35.08,109.09,69.93,75,88,3.65,overcast clouds
102,Saint-Germain-En-Laye,FR,48.89,2.08,62.01,82,75,14.99,broken clouds
103,Jadu,LY,31.95,12.03,83.43,29,0,13.69,clear sky
104,At-Bashi,KG,41.17,75.81,55.51,52,30,5.01,scattered clouds
105,Ugoofaaru,MV,5.67,73.0,83.59,67,81,4.34,broken clouds
106,Kilindoni,TZ,-7.91,39.67,76.68,74,11,12.12,few clouds
107,Eureka,US,40.8,-124.16,61.0,100,90,3.36,mist
108,Faanui,PF,-16.48,-151.75,77.4,80,47,24.09,light rain
109,Deep River,CA,46.1,-77.5,59.0,98,100,3.0,light rain
110,Puerto Ayora,EC,-0.74,-90.35,73.4,69,20,19.46,few clouds
111,Rossano,IT,39.58,16.63,87.01,33,0,5.59,clear sky
112,Usinsk,RU,65.99,57.53,45.32,73,43,12.39,scattered clouds
113,Tessalit,ML,20.2,1.01,79.07,69,62,12.71,heavy intensity rain
114,East London,ZA,-33.02,27.91,55.4,62,45,25.28,scattered clouds
115,Tual,ID,-5.67,132.75,78.78,84,64,19.55,light rain
116,Narsaq,GL,60.92,-46.05,62.6,29,40,21.92,scattered clouds
117,Safranbolu,TR,41.25,32.69,73.29,31,0,1.97,clear sky
118,Guerrero Negro,MX,27.98,-114.06,85.96,51,11,5.19,few clouds
