City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Bengkulu,ID,76.53,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
278,Gorontalo,ID,75.4,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
282,Namatanai,PG,77.88,scattered clouds,-3.67,152.43,Namatanai Hotel
285,Meulaboh,ID,77.95,light rain,4.14,96.13,Kost Pria
286,Prestea,GH,77.52,scattered clouds,5.43,-2.14,Channel 5
292,Aquiraz,BR,86.0,few clouds,-3.9,-38.39,Hotel Laguna Blu
294,Lorengau,PG,81.0,light rain,-2.02,147.27,Lorengau Harbourside Hotel
296,Watertown,US,75.0,light rain,42.37,-71.18,Super 8 by Wyndham Watertown/Cambridge/Boston Area
297,Nchelenge,ZM,77.04,clear sky,-9.35,28.73,Mweru Water Transport
298,Ingham,US,75.0,overcast clouds,42.6,-84.38,Sunset Place
300,Kirakira,SB,78.82,overcast clouds,-10.45,161.92,SanBiz Lodge
305,Hamilton,US,87.01,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
313,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
315,Sao Filipe,CV,81.09,overcast clouds,14.9,-24.5,Tortuga B&B
318,Oistins,BB,84.2,light intensity shower rain,13.07,-59.53,Butterfly Beach Hotel
321,Manaus,BR,87.8,scattered clouds,-3.1,-60.02,Hotel do Largo
322,Bathsheba,BB,84.2,light intensity shower rain,13.22,-59.52,Atlantis Hotel
323,Galesong,ID,77.0,few clouds,-5.32,119.37,Sapriadi Appy
324,Orange,US,79.0,few clouds,33.7,-117.77,La Quinta Inn & Suites by Wyndham Irvine Spectrum
327,Uthal,PK,82.54,scattered clouds,25.81,66.62,Al Madina Hotal
331,Hasaki,JP,78.8,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
334,Andradas,BR,81.95,clear sky,-22.07,-46.57,Andradas Palace Hotel
336,Tuy Hoa,VN,78.67,scattered clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
343,Vanimo,PG,76.46,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
350,Teahupoo,PF,78.8,few clouds,-17.83,-149.27,Vanira Lodge
352,North Platte,US,77.0,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
354,Newton,US,75.0,light rain,42.34,-71.21,Hotel Indigo Boston - Newton Riverside
355,Broome,US,78.01,broken clouds,42.25,-75.83,Chenango Valley State Park
359,Swedru,GH,78.8,few clouds,5.54,-0.7,Emma-Ike Guesthouse
362,Batticaloa,LK,82.76,scattered clouds,7.71,81.69,Grand Star Guest House
363,Mikuni,JP,80.6,few clouds,36.22,136.15,Haiya
